4001 2
0.00000	-65.00000	
0.02500	-65.47618	
0.05000	-65.94498	
0.07500	-66.40698	
0.10000	-66.86260	
0.12500	-67.31220	
0.15000	-67.75600	
0.17500	-68.19413	
0.20000	-68.62663	
0.22500	-69.05350	
0.25000	-69.47465	
0.27500	-69.88997	
0.30000	-70.29932	
0.32500	-70.70253	
0.35000	-71.09945	
0.37500	-71.48992	
0.40000	-71.87380	
0.42500	-72.25096	
0.45000	-72.62128	
0.47500	-72.98466	
0.50000	-73.34105	
0.52500	-73.69038	
0.55000	-74.03264	
0.57500	-74.36781	
0.60000	-74.69590	
0.62500	-75.01695	
0.65000	-75.33098	
0.67500	-75.63806	
0.70000	-75.93826	
0.72500	-76.23164	
0.75000	-76.51830	
0.77500	-76.79833	
0.80000	-77.07184	
0.82500	-77.33891	
0.85000	-77.59967	
0.87500	-77.85421	
0.90000	-78.10267	
0.92500	-78.34514	
0.95000	-78.58175	
0.97500	-78.81261	
1.00000	-79.03784	
1.02500	-79.25756	
1.05000	-79.47188	
1.07500	-79.68091	
1.10000	-79.88477	
1.12500	-80.08357	
1.15000	-80.27742	
1.17500	-80.46644	
1.20000	-80.65072	
1.22500	-80.83038	
1.25000	-81.00552	
1.27500	-81.17624	
1.30000	-81.34264	
1.32500	-81.50482	
1.35000	-81.66288	
1.37500	-81.81691	
1.40000	-81.96701	
1.42500	-82.11326	
1.45000	-82.25575	
1.47500	-82.39457	
1.50000	-82.52981	
1.52500	-82.66155	
1.55000	-82.78987	
1.57500	-82.91484	
1.60000	-83.03655	
1.62500	-83.15507	
1.65000	-83.27047	
1.67500	-83.38284	
1.70000	-83.49222	
1.72500	-83.59871	
1.75000	-83.70235	
1.77500	-83.80323	
1.80000	-83.90139	
1.82500	-83.99691	
1.85000	-84.08984	
1.87500	-84.18024	
1.90000	-84.26817	
1.92500	-84.35369	
1.95000	-84.43685	
1.97500	-84.51770	
2.00000	-84.59264	
2.02500	-84.65736	
2.05000	-84.70831	
2.07500	-84.73589	
2.10000	-84.71469	
2.12500	-84.62489	
2.15000	-84.45561	
2.17500	-83.90981	
2.20000	-82.56525	
2.22500	-80.42993	
2.25000	-77.85891	
2.27500	-75.09336	
2.30000	-72.28166	
2.32500	-69.51335	
2.35000	-66.84075	
2.37500	-64.13841	
2.40000	-61.48787	
2.42500	-58.94201	
2.45000	-56.52125	
2.47500	-54.09369	
2.50000	-51.57951	
2.52500	-49.05375	
2.55000	-46.52909	
2.57500	-43.96559	
2.60000	-41.25914	
2.62500	-38.19695	
2.65000	-34.34748	
2.67500	-28.74649	
2.70000	-20.28051	
2.72500	-12.67478	
2.75000	-5.71464	
2.77500	3.06729	
2.80000	13.55993	
2.82500	22.55884	
2.85000	30.16360	
2.87500	36.14814	
2.90000	40.35722	
2.92500	42.93365	
2.95000	44.27196	
2.97500	44.81827	
3.00000	44.91669	
3.02500	44.77583	
3.05000	44.50252	
3.07500	44.14546	
3.10000	43.72534	
3.12500	43.25073	
3.15000	42.72536	
3.17500	42.15124	
3.20000	41.52960	
3.22500	40.86177	
3.25000	40.14916	
3.27500	39.39323	
3.30000	38.59553	
3.32500	37.75773	
3.35000	36.88143	
3.37500	35.96847	
3.40000	35.02077	
3.42500	34.04039	
3.45000	33.02941	
3.47500	31.98992	
3.50000	30.92381	
3.52500	29.80515	
3.55000	28.65744	
3.57500	27.49171	
3.60000	26.31249	
3.62500	25.12215	
3.65000	23.92236	
3.67500	22.68758	
3.70000	21.44165	
3.72500	20.19385	
3.75000	18.94731	
3.77500	17.70336	
3.80000	16.44545	
3.82500	15.18902	
3.85000	13.94017	
3.87500	12.70060	
3.90000	11.45753	
3.92500	10.22336	
3.95000	9.00214	
3.97500	7.78595	
4.00000	6.58339	
4.02500	5.39669	
4.05000	4.22557	
4.07500	3.06904	
4.10000	1.92593	
4.12500	0.79505	
4.15000	-0.32474	
4.17500	-1.43460	
4.20000	-2.53571	
4.22500	-3.62936	
4.25000	-4.71697	
4.27500	-5.80016	
4.30000	-6.88075	
4.32500	-7.95205	
4.35000	-9.02026	
4.37500	-10.09062	
4.40000	-11.16793	
4.42500	-12.25762	
4.45000	-13.36645	
4.47500	-14.50299	
4.50000	-15.67858	
4.52500	-16.90843	
4.55000	-18.21342	
4.57500	-19.62251	
4.60000	-21.17507	
4.62500	-22.92100	
4.65000	-24.91039	
4.67500	-27.15595	
4.70000	-29.57365	
4.72500	-32.00115	
4.75000	-34.32046	
4.77500	-36.51111	
4.80000	-38.60861	
4.82500	-40.66248	
4.85000	-42.71979	
4.87500	-44.82200	
4.90000	-47.00585	
4.92500	-49.30473	
4.95000	-51.74900	
4.97500	-54.36486	
5.00000	-57.17042	
5.02500	-60.08373	
5.05000	-63.11507	
5.07500	-66.22370	
5.10000	-69.31592	
5.12500	-72.26013	
5.15000	-74.78914	
5.17500	-76.86530	
5.20000	-78.48333	
5.22500	-79.68210	
5.25000	-80.53119	
5.27500	-81.10914	
5.30000	-81.48860	
5.32500	-81.72925	
5.35000	-81.75381	
5.37500	-81.65850	
5.40000	-81.50689	
5.42500	-81.33140	
5.45000	-81.14739	
5.47500	-80.96511	
5.50000	-80.64523	
5.52500	-80.15791	
5.55000	-79.61565	
5.57500	-79.08012	
5.60000	-78.57538	
5.62500	-78.10745	
5.65000	-77.67774	
5.67500	-77.28699	
5.70000	-76.93551	
5.72500	-76.61815	
5.75000	-76.33156	
5.77500	-76.07096	
5.80000	-75.83429	
5.82500	-75.62165	
5.85000	-75.31730	
5.87500	-74.98399	
5.90000	-74.65826	
