CellSwc[1].Dend[10194],CellSwc[2].Dend[11537],7.047658
CellSwc[1].Dend[15592],CellSwc[2].Dend[11022],3.645197
CellSwc[1].Dend[21436],CellSwc[2].Dend[10380],5.740786
CellSwc[1].Dend[8852],CellSwc[2].Dend[11580],4.746877
CellSwc[1].Dend[16085],CellSwc[2].Dend[11972],3.011358
CellSwc[1].Dend[20937],CellSwc[2].Dend[11079],5.181970
CellSwc[1].Dend[9540],CellSwc[2].Dend[11215],6.508887
CellSwc[1].Dend[15719],CellSwc[2].Dend[11093],6.898777
CellSwc[1].Dend[16086],CellSwc[2].Dend[11972],3.011358
CellSwc[1].Dend[16193],CellSwc[2].Dend[11972],2.525969
